Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,"Non-parametric (Friedman, Nemenyi)"
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,0,Title,"(38688, 'zh')","(3999, 'ta')","(865, 'ms')","(46002, 'en')","(4070, 'ta')","(28089, 'en')","(19971, 'zh')","(109769, 'en')","(250, 'ms')","(258, 'ms')","(10624, 'ta')","(4057, 'zh')",p=0.097
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,1,BWE-Agg-Add,0.49077789325238175,0.524572826470564,0.4291209113838033,0.6522543540373843,0.4711498708241795,0.6708745021692698,0.5419670905763424,0.6652360726317708,0.20188093353883438,0.1965685998930983,0.4733770932046037,0.5510432718273212,0.23456257933819458
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,2,BWE-Agg-IDF,0.5380983065165739,0.5413024282747383,0.46087750099014746,0.661763939732241,0.4993816085497666,0.6445846991280871,0.5588846912416696,0.678185964330774,0.23568034822238712,0.16493399598344763,0.47605220767401385,0.575464224267578,0.5308748413236108
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,3,LASER,0.7020731982844226,0.1635399573190627,0.6150825585566915,0.3672966899641615,0.5232563965562425,0.6831533751466974,0.6136241824060763,0.5670854820715178,0.661645646336665,0.6582484884712627,0.1945016407101431,0.6614246319457396,0.23456257933819458
Jair begins his four-year term as President of Brazil.,0,Title,"(93, 'ms')","(14392, 'zh')","(71603, 'en')","(10407, 'ta')","(1895, 'ta')","(64299, 'en')","(749, 'ta')","(5342, 'zh')","(7585, 'en')","(608, 'ms')","(17277, 'zh')","(974, 'ms')",p=0.006
Jair begins his four-year term as President of Brazil.,1,BWE-Agg-Add,0.45552308689032767,0.4503831125682741,0.33063603091666494,0.42741710366788427,0.4006747044416133,0.5173767216417269,0.3921120492876623,0.325603023581566,0.4738492273592244,0.3537507511011635,0.4976674922532211,0.34784039630340857,0.4775185458906173
Jair begins his four-year term as President of Brazil.,2,BWE-Agg-IDF,0.4462906549650575,0.40557483903385144,0.26958412403431714,0.3993112415498298,0.3506987261950545,0.41221457333898226,0.36457587780191797,0.3008845808409564,0.4375841309222096,0.29278479179204975,0.4573260376219383,0.3125072860880221,0.2612407270546913
Jair begins his four-year term as President of Brazil.,3,LASER,0.6097944882818673,0.49082687242847894,0.4262141196849714,0.10857673672889692,0.4561417954509778,0.4324975144013888,0.09799924646671329,0.5526579338475223,0.3912648594435765,0.5547274198928932,0.5124724128750053,0.5748148198315207,0.2612407270546913
Qatar withdraws from OPEC.,0,Title,"(379, 'ms')","(20153, 'en')","(21680, 'zh')","(3847, 'ta')","(90307, 'en')","(50600, 'zh')","(600, 'ta')","(9206, 'ta')","(5609, 'zh')","(97828, 'en')","(649, 'ms')","(750, 'ms')",p=0.009
Qatar withdraws from OPEC.,1,BWE-Agg-Add,0.5450433054460089,0.6405090228872266,0.5852491827534911,0.3259290525567679,0.6061213793825576,0.5329658990887951,0.30296460314394275,0.37087266433603405,0.5581104126854529,0.49206851287173087,0.3883123791104881,0.4488406319510181,0.9267654273052226
Qatar withdraws from OPEC.,2,BWE-Agg-IDF,0.5797507280112764,0.7292864884038192,0.6304767312905794,0.3189522476857937,0.6905983619098367,0.6397852893691733,0.3074270716192295,0.38805624086908497,0.6396907981288155,0.557178153235044,0.3864076631909891,0.5092446881008638,0.03661728634738872
Qatar withdraws from OPEC.,3,LASER,0.5605288747313257,0.2872657891475064,0.44522481246794277,0.07476908593597939,0.539931942626534,0.47787924917294844,0.04134015413866256,0.07091665840610666,0.46230147202583016,0.22883140243958355,0.507823701040059,0.5383503913194557,0.03661728634738872
Same-sex marriage becomes legal in Austria.,0,Title,"(501, 'ms')","(93410, 'en')","(7091, 'zh')","(2751, 'ta')","(29021, 'en')","(15389, 'zh')","(13310, 'ta')","(5823, 'ta')","(22, 'ms')","(7319, 'zh')","(111, 'ms')","(51995, 'en')",p=0.338
Same-sex marriage becomes legal in Austria.,1,BWE-Agg-Add,0.19226551630424726,0.5424571407437275,0.46210487708320513,0.3039193459450429,0.4489008266683885,0.34916340705671806,0.30535824230693936,0.2496975511905759,0.2819984822428598,0.2903385972944379,0.19047469062803513,0.6401961875716375,0.2692534495183101
Same-sex marriage becomes legal in Austria.,2,BWE-Agg-IDF,0.21235290706374851,0.5721612617751827,0.5162586690073251,0.2998827980233407,0.4977191408920969,0.4018409989693284,0.32187497383804375,0.23543641066370766,0.28930395568149425,0.35512684741926864,0.19513314223362535,0.6333815105202776,0.2692534495183101
Same-sex marriage becomes legal in Austria.,3,LASER,0.510422550417151,0.46065216211618054,0.20285042910436932,0.5201272562765866,0.31388154106442,0.5311413230290284,0.30641064187326084,0.4039109347670664,0.14611072352230406,0.48172084067139653,0.5049945255016883,0.559926583174173,0.46149310096337975
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,0,Title,"(24413, 'en')","(15181, 'zh')","(663, 'ms')","(7890, 'ta')","(294, 'ms')","(6574, 'ta')","(22904, 'zh')","(58257, 'en')","(4070, 'ta')","(38688, 'zh')","(14149, 'en')","(865, 'ms')",p=0.717
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,1,BWE-Agg-Add,0.7345824475937128,0.5257569376185148,0.5848365142493609,0.5259488320688785,0.3238745536495596,0.4709457375573571,0.5353993909771773,0.7431112321355365,0.4198679258188665,0.4022794550789556,0.7213248534550993,0.3548982482809673,0.3002548138587512
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,2,BWE-Agg-IDF,0.7327895585514015,0.5353625751288075,0.5802644624886599,0.5402966487365829,0.3201814935683355,0.4844244615351392,0.5632973028372277,0.726066900119169,0.45643817821031735,0.46868190626260736,0.7106867646414364,0.3822232681992467,0.3994903722824976
Chinese probe Chang'e 4 becomes the first human-made object to land on the far side of the Moon.,3,LASER,0.32203866525590785,0.6520535774880969,0.6600386470159691,0.17448474792214105,0.6390782977272642,0.153294838148227,0.5936686677411636,0.5292694947346333,0.47942604018022095,0.5817267329665208,0.5753250444461124,0.5309071145989807,0.3002548138587512
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,0,Title,"(805, 'ms')","(77516, 'en')","(18707, 'zh')","(8181, 'ta')","(12540, 'ta')","(22264, 'zh')","(40423, 'zh')","(7322, 'ta')","(103769, 'en')","(873, 'ms')","(10287, 'en')","(918, 'ms')",p=0.076
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,1,BWE-Agg-Add,0.4668692955697536,0.6300135422129913,0.2958137209355436,0.2744962696275762,0.30331719384075845,0.14874961203368298,0.46363385381024375,0.26772381846491616,0.5289634126273096,0.36649502232342285,0.6513143840386637,0.4349173112220566,0.14056125165081146
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,2,BWE-Agg-IDF,0.4908161800745605,0.6891796067707474,0.4270784048328016,0.3000102829869263,0.30924716806036195,0.16456322034032386,0.5294935190533445,0.26562080674851946,0.5964935601590797,0.383130595263561,0.739344006327769,0.4354548388271386,0.14056125165081146
Bartholomew I of Constantinople issues a formal decree granting independence to the Orthodox Church of Ukraine from the Russian Orthodox Church.,3,LASER,0.6882045367765146,0.5094559172912648,0.6071313490148332,0.22441086969022778,0.19740433333856836,0.6230008629402457,0.5985459508824473,0.17365824002730212,0.5544931645159019,0.2737907288820086,0.3729548267715025,0.6880175752880182,0.7188774966983771
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",0,Title,"(10160, 'zh')","(492, 'ms')","(3943, 'ta')","(63187, 'en')","(2167, 'en')","(67221, 'en')","(5086, 'ta')","(3439, 'ta')","(212, 'ms')","(650, 'ms')","(27471, 'zh')","(15867, 'zh')",p=0.472
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",1,BWE-Agg-Add,0.3343777990713419,0.3617615153126202,0.48547033026232805,0.6975355904954949,0.7630138044350305,0.7916140835691172,0.39809404785499636,0.40559719741037353,0.5454727343548733,0.6441713071327989,0.43600757759480707,0.28374153313054884,0.2630848141485789
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",2,BWE-Agg-IDF,0.3793372518724244,0.26353814414163185,0.5055084552404119,0.7762843446353666,0.8035978713541094,0.8335405657667607,0.4026972331990046,0.4148451612581703,0.4376067079512331,0.623067002316054,0.4632801671957175,0.2948064548708401,0.2630848141485789
"Muhammad V of Kelantan abdicates the federal throne as the 15th monarch of Malaysia, the first Malaysian monarch to do so.",3,LASER,0.6311492717507222,0.6370062055669663,0.17139051531403512,0.3009413796931693,0.29657176398463186,0.6762011117057228,0.20796339935966965,0.14860079189751063,0.6552274833222752,0.6952495173808046,0.5927645068546329,0.5969451873558094,0.4738303717028421
A faction of the Armed Forces of Gabon attempts a coup d'état.,0,Title,"(1204, 'ta')","(434, 'ms')","(43634, 'zh')","(95848, 'en')","(29499, 'zh')","(44701, 'en')","(69487, 'en')","(87, 'ms')","(35001, 'zh')","(671, 'ms')","(2724, 'ta')","(7042, 'ta')",p=0.472
A faction of the Armed Forces of Gabon attempts a coup d'état.,1,BWE-Agg-Add,0.4612355239623858,0.3798614605978492,0.5194874356935784,0.5716481384483687,0.35882593325473305,0.48165137777403166,0.5813710166954164,0.15635434566658712,0.39280970683346467,0.3972155398974126,0.44254146115558185,0.4528867241302374,0.2630848141485789
A faction of the Armed Forces of Gabon attempts a coup d'état.,2,BWE-Agg-IDF,0.4742094653559636,0.37847242112738294,0.5655142660285005,0.5986492889994405,0.43808664474734665,0.5281523230771912,0.6066519193286254,0.14857025701786117,0.4268424272862145,0.42658779081801473,0.4416152675909692,0.4565422361782926,0.2630848141485789
A faction of the Armed Forces of Gabon attempts a coup d'état.,3,LASER,0.09533174930087514,0.5512996907542167,0.5090855011341441,0.38572781851638777,0.541447366360176,0.27663033309198864,0.42484323284749537,0.540013389957423,0.5205468901264326,0.5505232840628832,0.4956833523210763,0.07539691479733143,0.4738303717028421
"Venezuela enters a presidential crisis as Juan Guaidó and the National Assembly declare incumbent President Nicolás Maduro ""illegitimate"".",0,Title,"(20224, 'en')","(93, 'ms')","(17277, 'zh')","(99, 'ms')","(8426, 'ta')","(6897, 'ta')","(5017, 'ta')","(3785, 'zh')","(11761, 'zh')","(50772, 'en')","(104469, 'en')","(387, 'ms')",p=0.368
"Venezuela enters a presidential crisis as Juan Guaidó and the National Assembly declare incumbent President Nicolás Maduro ""illegitimate"".",1,BWE-Agg-Add,0.6688253436542445,0.47883073094874606,0.6443198260700793,0.41980430733142315,0.44604649975732386,0.398458121262395,0.5082929868396421,0.5355804293533716,0.4617032783836783,0.6344169242373215,0.6112766169306394,0.4807936202639286,0.3333333333333333
"Venezuela enters a presidential crisis as Juan Guaidó and the National Assembly declare incumbent President Nicolás Maduro ""illegitimate"".",2,BWE-Agg-IDF,0.7134012104053571,0.45916498356157515,0.6285383058156913,0.4082523580325725,0.43879856280381363,0.38388068044192925,0.5370156129893312,0.51038864036122,0.44420589469083416,0.6282422632260991,0.632888329354238,0.47315911988292825,0.3333333333333333
"Venezuela enters a presidential crisis as Juan Guaidó and the National Assembly declare incumbent President Nicolás Maduro ""illegitimate"".",3,LASER,0.586819676958651,0.685656343154803,0.6504127044734419,0.7081523266917834,0.1429484171972296,0.1467348021815174,0.6089459020657281,0.6516673366218447,0.6154132459623857,0.48799789057310355,0.4473758124894069,0.6791089969487322,0.3333333333333333
"Fuel thieves rupture a pipeline in Tlahuelilpan, Mexico, and a subsequent explosion kills at least 137 people and injures dozens more.",0,Title,"(672, 'ms')","(14610, 'zh')","(4322, 'ta')","(35076, 'en')","(11070, 'ta')","(96964, 'en')","(24465, 'zh')","(47761, 'en')","(513, 'ms')","(29084, 'zh')","(8245, 'ta')","(429, 'ms')",p=0.097
"Fuel thieves rupture a pipeline in Tlahuelilpan, Mexico, and a subsequent explosion kills at least 137 people and injures dozens more.",1,BWE-Agg-Add,0.2679353852386408,0.3136951904638242,0.5075793426383309,0.6195745525331567,0.4793231210151689,0.5457256006771467,0.3701383738481437,0.41569631160857,0.4955655891704856,0.27998433291652625,0.4905066979864038,0.32965994675481375,0.2345625793381963
"Fuel thieves rupture a pipeline in Tlahuelilpan, Mexico, and a subsequent explosion kills at least 137 people and injures dozens more.",2,BWE-Agg-IDF,0.26665166822686837,0.3133231038670675,0.4964292785230187,0.6355274409299602,0.4993746457145051,0.5742084802680982,0.39578976701757934,0.39789703215113564,0.47948910975948533,0.2876010170230224,0.4929038311749641,0.3307036248919553,0.5308748413236074
