Queries,,Model,Article1/Ranking,Article2/Ranking,Article3/Ranking,Article4/Ranking,Article5/Ranking,Article6/Ranking,Article7/Ranking,Article8/Ranking,Article9/Ranking,Article10/Ranking,Article11/Ranking,Article12/Ranking,Article13/Ranking,Article14/Ranking,Article15/Ranking,Article16/Ranking,Article17/Ranking,Article18/Ranking,Article19/Ranking,Article20/Ranking,Article21/Ranking,Article22/Ranking,Article23/Ranking,Article24/Ranking,"Non-parametric (Friedman, Nemenyi)","Non-parametric (Friedman, Nemenyi) (New)"
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,0,Title,"(92748, 'en')","(20707, 'zh')","(101786, 'en')","(250, 'ms')","(258, 'ms')","(4008, 'ta')","(809, 'ta')","(12577, 'ta')","(38296, 'zh')","(10344, 'ta')","(19377, 'zh')","(73845, 'en')","(46095, 'en')","(481, 'ms')","(557, 'ms')","(12267, 'ta')","(2460, 'zh')","(3902, 'ta')","(44761, 'zh')","(29998, 'zh')","(252, 'ms')","(892, 'ms')","(43113, 'en')","(77608, 'en')",p=0.000127,p=0.000009
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,1,BWE-Agg-Add,0.46470972848821296,0.3731949365634643,0.4212185011182409,0.20188093455213907,0.19656860003411847,0.4158023479198629,0.41384019085005785,0.4154747288704188,0.4197780915908738,0.42482939092208066,0.3359469705759186,0.42823377120017725,0.3520469994725991,0.3737758021058904,0.29069217894374977,0.36588035964594057,0.3019001160791326,0.35727073753278493,0.28214538749277324,0.26374063877524007,0.18936723561606078,0.26261587192931996,0.464664482050999,0.3130914171570852,0.30224486076629475,0.054234839450658975
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,2,BWE-Agg-IDF,0.47413406490369125,0.39974867754766547,0.42618025050786135,0.23568035166456328,0.164933993293114,0.4166098221566211,0.4020561069663741,0.45066283606783103,0.455301136074087,0.4196427212480031,0.31758705177855434,0.41715719836440096,0.36876131366725046,0.37228027038470973,0.2754962057340527,0.36236938768544186,0.2716792694503323,0.35543780401054476,0.2756855566854463,0.29020147807489416,0.20744510466669894,0.2613661557166731,0.45211203108724607,0.2657342789522525,0.07706505918538321,0.026162039545387154
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,3,LASER,0.3362817323473953,0.6414452081852687,0.4936243763626847,0.6616456525503523,0.6582485036478727,0.2017926002486979,0.1955466870906879,0.1921190289326625,0.6211194757632825,0.1774238814982757,0.6471693638041186,0.5713375804621408,0.5553688619970061,0.6456763596020332,0.7162928286481945,0.20163256129516127,0.6884124775195312,0.19236545226773705,0.6520961186285681,0.6640371203801018,0.6423127756031416,0.665156628581053,0.44680372361132664,0.6199570209868749,0.5861109025355042,0.13202931893608272
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,4,LASER-meta,0.5225330574655171,0.5475885749509208,0.6207283686058145,0.5606947571504061,0.26497840200491596,0.24779656214196014,0.4378524029544995,0.40662241944209104,0.5265196636111239,0.5374606574932783,0.6332265638572749,0.5921060483955594,0.4833165466463346,0.6055613321902014,0.6527346652493008,0.5678885415844046,0.5550272841572469,0.5533227973953784,0.5881556418965133,0.5082263183533837,0.5523007546634987,0.5435659643870593,0.5532242455033389,0.542941925220964,0.03457917751281777,0.0015247355760113403
Unmanned space probe New Horizons makes a close approach of the Kuiper belt object (KBO) 486958 at 05:33 UTC.,5,Ensemble-model,0.4396467819225481,0.4920621903218487,0.4835602086133214,0.41580175306329437,0.34248390886015745,0.31862593815858226,0.3519640088399618,0.3528712874901271,0.5065955095967761,0.37313207226579387,0.48519901331800647,0.5019046332358957,0.44142410169617174,0.5008458236477603,0.48742026472463446,0.3570924981273186,0.46279182613943837,0.34735525286890706,0.45246445204582736,0.43589099465905756,0.3996211913007961,0.43840309273801464,0.47516732491135605,0.4429597064057752,0,0.7860490664918598
Jair begins his four-year term as President of Brazil.,0,Title,"(17277, 'zh')","(93, 'ms')","(5397, 'ta')","(86575, 'en')","(3581, 'en')","(608, 'ms')","(7816, 'zh')","(3668, 'ta')","(94302, 'en')","(27520, 'zh')","(8630, 'ta')","(483, 'zh')","(92307, 'en')","(56080, 'en')","(929, 'ms')","(3777, 'ta')","(12571, 'ta')","(31111, 'en')","(9384, 'ta')","(68, 'ms')","(806, 'ms')","(387, 'ms')","(43644, 'zh')","(10099, 'zh')",p=0.000000,p=0.000000
Jair begins his four-year term as President of Brazil.,1,BWE-Agg-Add,0.4976674906495888,0.4555230879688715,0.49723722365065304,0.35759573832521285,0.383929578691271,0.3537507514693312,0.3786338323213134,0.39736762626659783,0.41992108090561986,0.32651250862593856,0.35121330769581083,0.37974125758549576,0.4508442348041938,0.5063345249194333,0.33285376523325083,0.38265002473313237,0.3637706425413711,0.5368145986972759,0.3411110718395686,0.38795093838824896,0.3818317276331894,0.33084736612686844,0.3940294333036166,0.3408483181215548,0.3939764504162355,0.36460913869352335
Jair begins his four-year term as President of Brazil.,2,BWE-Agg-IDF,0.4573260377418096,0.4462906561734082,0.4549145910469478,0.20452666464012823,0.33184076363427323,0.29278479018302866,0.38113861971854196,0.36004457461517125,0.341416609084024,0.31726698134288883,0.3106398822649916,0.3499947988761645,0.39686902842088073,0.4632943070710189,0.3419859821901935,0.3698001297774636,0.3194581498067254,0.508898984414656,0.3217643860699863,0.4029077140974324,0.3874283651330685,0.3229197757076384,0.34908964974103973,0.34444967110602215,0.15831743854679214,0.07376473299957537
Jair begins his four-year term as President of Brazil.,3,LASER,0.5124724060971675,0.6097944807367126,0.5821765768957711,0.4828196342192135,0.3525228781301534,0.5547274214160225,0.49928754780258494,0.17594788629147567,0.2547395278845597,0.5013403808210488,0.13035657092104241,0.5126394716850888,0.3347578246750069,0.2937257262364498,0.5761940346700598,0.1053908359977689,0.11834405871252998,0.25475630941896366,0.11280333461635683,0.5815328239202512,0.5702602918235291,0.5596044086983053,0.5036632614863238,0.5290164309910388,0.4464716060647426,0.30395704697691234
Jair begins his four-year term as President of Brazil.,4,LASER-meta,0.587155363406873,0.5868668997090827,0.518437682997049,0.5208444438653145,0.5352909813834469,0.5485872717353986,0.5888522085694208,0.4702828702017207,0.6031631405859716,0.570314559547687,0.44180925338112453,0.50314920783454,0.49396636742750166,0.6058158609551777,0.5872072085171215,0.507275031341609,0.13328494693526988,0.5370460074543713,0.3413793516203669,0.6095253926040792,0.49474735307351003,0.611975699925787,0.5472957708315762,0.589407045920271,0.001234504972229747,3.001992493704061e-05
Jair begins his four-year term as President of Brazil.,5,Ensemble-model,0.5136976635612043,0.5262705188800695,0.5200812770261867,0.4035377811231312,0.39680947468029576,0.4429974583278643,0.4570722795212029,0.3403710413602609,0.39531470493022725,0.42594159321939956,0.2974232588626325,0.4393257018719514,0.41654265511526306,0.45639118825328906,0.4576388427489412,0.32328907002821977,0.2376343515523513,0.44868946657589853,0.2703059028652163,0.4922883715645835,0.4613544247520101,0.45399733506111206,0.4503119944178332,0.4472121427842449,0,0.25763906140505194
Qatar withdraws from OPEC.,0,Title,"(379, 'ms')","(20153, 'en')","(90307, 'en')","(50600, 'zh')","(3847, 'ta')","(9206, 'ta')","(649, 'ms')","(5609, 'zh')","(750, 'ms')","(14730, 'zh')","(1826, 'ta')","(3823, 'ta')","(21916, 'en')","(9091, 'ta')","(4403, 'ta')","(38580, 'en')","(18599, 'zh')","(26216, 'zh')","(501, 'ms')","(3358, 'zh')","(369, 'en')","(492, 'ms')","(343, 'ms')","(93850, 'en')",p=0.000000,p=0.000000
